korean,preferred_vi,preferred_en,preferred_zh,preferred_th,preferred_ms,preferred_mn,preferred_ru,preferred_ja,note
방과후,Chương trình sau giờ học,After-school program,课后项目,โครงการหลังเลิกเรียน,Program selepas sekolah,Хичээлийн дараах хөтөлбөр,Программа после уроков,放課後プログラム,일정
사전예약,Đặt trước,Advance reservation,提前预约,จองล่วงหน้า,Tempahan awal,Урьдчилсан захиалга,Предварительная запись,事前予約,행정
성취기준,Tiêu chuẩn cần đạt,Achievement standard,成就标准,มาตรฐานผลสัมฤทธิ์,Standard pencapaian,Амжилтын шалгуур,Критерии достижения,達成基準,행정
마음방역,Chăm sóc sức khỏe tinh thần,Mental health care,心理健康管理,การดูแลสุขภาพจิต,Penjagaan kesihatan mental,Сэтгэцийн эрүүл мэндийн тусламж,Забота о психическом здоровье,心の健康管理,건강
소아청소년,Trẻ em và thanh thiếu niên,Children and adolescents,儿童青少年,เด็กและวัยรุ่น,Kanak-kanak dan remaja,"Хүүхэд, өсвөр үе",Дети и подростки,小児・青少年,행정
수강료,Học phí,Class fee,课程费,ค่าเรียน,Yuran kelas,Сургалтын төлбөр,Плата за занятия,受講料,비용
평가영역,Lĩnh vực đánh giá,Assessment area,评价领域,ขอบเขตการประเมิน,Bidang penilaian,Үнэлгээний хүрээ,Область оценки,評価領域,행정
점심시간,Giờ ăn trưa,Lunch break,午餐时间,เวลาพักกลางวัน,Waktu rehat tengah hari,Өдрийн цайны цаг,Обеденный перерыв,昼食時間,일정
인플루엔자,Cúm,Influenza,流感,ไข้หวัดใหญ่,Influenza,Томуу,Грипп,インフルエンザ,검사
조기개입,Can thiệp sớm,Early intervention,早期干预,การแทรกแซงระยะแรก,Intervensi awal,Эрт оролцоо,Раннее вмешательство,早期介入,건강
단원명,Tên bài học,Unit title,单元名称,ชื่อหน่วยการเรียนรู้,Tajuk unit,Нэгжийн нэр,Название раздела,単元名,행정
구강검진,Khám răng miệng,Dental check-up,口腔检查,การตรวจสุขภาพช่องปาก,Pemeriksaan kesihatan mulut,Амны хөндийн үзлэг,Осмотр полости рта,口腔検診,검사
개인정보,Thông tin cá nhân,Personal data,个人信息,ข้อมูลส่วนตัว,Maklumat peribadi,Хувийн мэдээлэл,Личная информация,個人情報,행정
법정대리인,Người giám hộ hợp pháp,Legal guardian,法定代理人,ผู้ปกครองตามกฎหมาย,Penjaga sah,Хууль ёсны төлөөлөгч,Законный представитель,法定代理人,행정
서답형,Dạng câu hỏi tự luận,Constructed-response question,主观题,คำถามแบบเขียนตอบ,Soalan respons bertulis,Хариулт бичих асуулт,Задание с развёрнутым ответом,記述式,행정
행동강령,Quy tắc ứng xử,Code of conduct,行为准则,ประมวลจริยธรรม,Kod tingkah laku,Ёс зүйн дүрэм,Кодекс поведения,行動規範,행정
