수학여행 실시 결과 설문지(참가 학생용) 수학여행 결과 설문(인솔 교원용)

[표]
구분 | 내 용 | 매우 만족 | 만족 | 보통 | 불만 | 매우 불만
시설 ⋅ 환경 | 1) 시설에 대하여 전반적으로 어떻게 생각합니까? | 23 | 28 | 11 | 4 | 3
| 2) 환기, 채광, 조명, 방습, 방음 시설 등이 적절하게 이루어져 있습니까? | 19 | 16 | 18 | 9 | 7
| 3) 화장실과 세면장등은 깨끗하고 정돈이 잘 돼 있습니까? | 28 | 19 | 14 | 6 | 2
숙소 | 1) 숙소의 청결상태에 대하여 만족합니까? | 32 | 19 | 11 | 5 | 2
| 2) 방배정은 적당한 인원이 배치되었다고 생각합니까? | 32 | 19 | 13 | 2 | 3
| 3) 배게 및 이불은 잘 구비되어 있습니까? | 40 | 19 | 7 | 1 | 2
프로 그램 ⋅ 내용 | 1) 활동한 프로그램 내용에 대하여 만족합니까? | 30 | 24 | 9 | 4 | 2
| 2) 프로그램은 교육과 놀이, 휴식 등이 적절하게 조화되어 있습니까? | 27 | 11 | 18 | 10 | 3
| 3) 편성인원과 수준에 따른 난이도는 적당하다고 생각합니까? | 28 | 20 | 17 | 3 | 1
안전 ⋅ 영양 | 1) 활동 전 안전에 대한 교육은 받았습니까? | 25 | 22 | 18 | 2 | 2
| 2) 식사는 맛있었습니까? | 21 | 15 | 17 | 8 | 8
| 3) 식당은 청결하게 관리되어 있었습니까? | 28 | 22 | 15 | 2 | 2
교통 | 1) 운행기사는 친절했습니까? | 32 | 19 | 11 | 5 | 2
| 2) 교통신호와 급정거 금지 등 법규는 잘 지켰습니까? | 32 | 19 | 13 | 2 | 3
| 3) 안전띠는 부착되어 있습니까? | 40 | 19 | 7 | 1 | 2
강사 | 1) 강사는 친절 하였습니까? | 29 | 18 | 14 | 4 | 3
| 2) 강사들로부터 나 자신이 존중받고 있다는 느낌을 받았습니까? | 26 | 14 | 22 | 3 | 4
기타 | 1) 활동내용이 자신에게 도움이 되었습니까? | 29 | 18 | 17 | 4 | 1

구분 | 내 용 | 매우 만족 | 만 족 | 보 통 | 불 만 | 매우 불만
시설 ⋅ 환경 | 1) 다른 시설과 비교하여 시설의 다양성은 적당하다고 생각합니까? | 5 | | | |
| 2) 학생들을 위한 교육공간으로 장소는 적당하다고 생각합니까? | 5 | | | |
| 3) 전달체계 및 방송시설에 대해 만족합니까? | 5 | | | |
| 4) 다음에도 이 장소를 이용 하겠습니까? | 5 | | | |
교육의 필요성 | 1) 활동이 학생들의 학습에 도움이 되었다고 생각합니까? | 5 | | | |
| 2) 교육과정에 반드시 필요하다고 생각합니까? | 5 | | | |
| 3) 학생들의 인격수양과 삶의 질 향상에 도움이 되겠습니까? | 5 | | | |
프로 그램 ⋅ 내용 | 1) 활동 프로그램 내용에 대하여 만족합니까? | 5 | | | |
| 2) 프로그램은 교육과 놀이, 휴식 등이 적절하게 조화되어 있습니까? | 5 | | | |
| 3) 학생들의 지적, 정서적, 사회적, 신체적 발달을 위해 교육 목표에 따라 계획성 있는 프로그램이 운영되고 있습니까? | 5 | | | |
| 4) 편성 인원과 수준에 따른 난이도는 적당하다고 생각합니까? | 5 | | | |
안전 ⋅ 영양 | 1) 안전사고에 대한 교육과 대비는 잘 되었다고 생각합니까? | 5 | | | |
| 2) 안전에 필요한 장비는 갖추어져 있습니까? | 5 | | | |
| 3) 다양하고 영양가 있는 식사가 제공되며 맛있다고 생각합니까? | 5 | | | |
강사 | 1) 강사의 성실성 및 친절도에 대해 만족하십니까? | 5 | | | |
| 2) 강사들의 학생에 대한 열의가 있다고 생각합니까? | 5 | | | |
