korean,preferred_vi,preferred_en,preferred_zh,preferred_th,preferred_ms,preferred_mn,preferred_ru,preferred_ja,note
학부모님께,Kính gửi quý phụ huynh,Dear parents,尊敬的家长,เรียนผู้ปกครอง,Kepada ibu bapa,Эцэг эхчүүдэд,Уважаемые родители,保護者の皆様,인사말
참고 바랍니다,Vui lòng tham khảo,Please refer to this,请参考,โปรดทราบ,Sila rujuk,Анхаарна уу,Просим ознакомиться,ご確認ください,안내 표현
협조 부탁드립니다,Mong quý phụ huynh hợp tác,Thank you for your cooperation,请予以配合,ขอความร่วมมือ,Terima kasih atas kerjasama,Хамтран ажиллахыг хүсье,Просим содействия,ご協力をお願いいたします,안내 표현
반드시,Nhất định,Must,必须,จำเป็นต้อง,Wajib,Заавал,Обязательно,必ず,강조 표현
미제출,Chưa nộp,Not submitted,未提交,ยังไม่ได้ส่ง,Belum dihantar,Илгээгээгүй,Не представлено,未提出,상태값
제출 완료,Đã nộp,Submitted,已提交,ส่งแล้ว,Telah dihantar,Илгээсэн,Представлено,提出済み,상태값
희망하지 않음,Không có nhu cầu,Do not wish to apply,不希望参加,ไม่ประสงค์เข้าร่วม,Tidak berminat,Хүсэхгүй,Не желает,希望しない,상태값
해당 없음,Không áp dụng,Not applicable,不适用,ไม่เกี่ยวข้อง,Tidak berkenaan,Хамааралгүй,Не применимо,該当なし,상태값
까지,Đến,Until,截至,จนถึง,Hingga,Хүртэл,До,まで,일정 표현
부터,Từ,From,从,ตั้งแต่,Dari,Эхлэн,С,から,일정 표현
이후,Sau đó,After,以后,หลังจาก,Selepas,Дараа,После,以降,일정 표현
이전,Trước đó,Before,以前,ก่อน,Sebelum,Өмнө,До,以前,일정 표현
매주,Hàng tuần,Every week,每周,ทุกสัปดาห์,Setiap minggu,Долоо хоног бүр,Каждую неделю,毎週,일정 표현
매월,Hàng tháng,Every month,每月,ทุกเดือน,Setiap bulan,Сар бүр,Каждый месяц,毎月,일정 표현
당일,Trong ngày đó,On the day,当天,ในวันนั้น,Pada hari tersebut,Тухайн өдөр,В тот день,当日,일정 표현
환불,Hoàn tiền,Refund,退款,การคืนเงิน,Bayaran balik,Буцаан олголт,Возврат денег,返金,비용
감면,Miễn giảm,Reduction or exemption,减免,การลดหย่อน,Pengecualian atau pengurangan,Хөнгөлөлт чөлөөлөлт,Льгота или освобождение,減免,비용
지원금,Tiền hỗ trợ,Support fund,补助金,เงินสนับสนุน,Dana bantuan,Дэмжлэгийн мөнгө,Пособие,支援金,비용
납부기한,Hạn nộp tiền,Payment deadline,缴费期限,กำหนดชำระเงิน,Tempoh bayaran,Төлбөр төлөх хугацаа,Крайний срок оплаты,納付期限,비용
미납,Chưa thanh toán,Unpaid,未缴费,ยังไม่ได้ชำระเงิน,Belum dibayar,Төлбөр төлөгдөөгүй,Не оплачено,未納,비용
납부완료,Đã thanh toán,Payment completed,已缴费,ชำระเงินแล้ว,Bayaran selesai,Төлбөр төлсөн,Оплачено,納付済み,비용
발열,Sốt,Fever,发热,มีไข้,Demam,Халуурах,Температура,発熱,건강
기침,Ho,Cough,咳嗽,ไอ,Batuk,Ханиалгах,Кашель,咳,건강
복통,Đau bụng,Stomachache,腹痛,ปวดท้อง,Sakit perut,Гэдэс өвдөх,Боль в животе,腹痛,건강
귀가조치,Cho về nhà,Sent home,送回家,ให้กลับบ้าน,Dihantar pulang,Гэрт нь буцаах,Отправить домой,帰宅措置,건강·안전
보건실,Phòng y tế,Health room,保健室,ห้องพยาบาล,Bilik kesihatan,Эрүүл мэндийн өрөө,Медицинский кабинет,保健室,건강
응급상황,Tình huống khẩn cấp,Emergency situation,紧急情况,สถานการณ์ฉุกเฉิน,Kecemasan,Яаралтай нөхцөл байдал,Чрезвычайная ситуация,緊急時,건강·안전
휴대전화 사용,Sử dụng điện thoại di động,Mobile phone use,使用手机,การใช้โทรศัพท์มือถือ,Penggunaan telefon bimbit,Гар утас ашиглах,Использование мобильного телефона,携帯電話の使用,생활지도
교내,Trong trường,On campus,校内,ในโรงเรียน,Dalam sekolah,Сургуулийн дотор,На территории школы,校内,장소
교외,Ngoài trường,Off campus,校外,นอกโรงเรียน,Luar sekolah,Сургуулийн гадна,Вне школы,校外,장소
분실,Mất đồ,Lost item,遗失,ของหาย,Barang hilang,Алдагдсан зүйл,Потеря,紛失,생활
습득물,Đồ nhặt được,Found item,拾得物,ของที่พบ,Barang dijumpai,Олдсон зүйл,Найденная вещь,拾得物,생활
금지,Cấm,Prohibited,禁止,ห้าม,Dilarang,Хориглоно,Запрещено,禁止,생활지도
