korean,preferred_vi,preferred_en,preferred_zh,preferred_th,preferred_ms,preferred_mn,preferred_ru,preferred_ja,role,note
앞치마,tạp dề,Apron,围裙,ผ้ากันเปื้อน,apron,хормогч,фартук,エプロン,item,유치원 요리/김장 활동 준비물
머릿수건,khăn trùm đầu,Bandana,头巾,ผ้าโพกหัว,kain penutup kepala,толгойны алчуур,косынка,三角巾,item,유치원 요리/김장 활동 준비물
체험학습,buổi trải nghiệm,Field trip,校外体验活动,กิจกรรมเรียนรู้นอกห้องเรียน,aktiviti pembelajaran luar kelas,танин мэдэхүйн аялал,учебная экскурсия,体験学習,item,학교 체험 활동
현장체험학습,buổi trải nghiệm thực tế,Field trip,户外体验活动,ทัศนศึกษานอกสถานที่,lawatan sambil belajar di luar sekolah,сургалтын аялал,выездная экскурсия,校外学習,item,학교 밖 체험학습
원복,đồng phục trường,Preschool uniform,园服,ชุดอนุบาล,uniform tadika,цэцэрлэгийн дүрэмт хувцас,форма садика,園服,item,유치원 지정 복장
도화지,giấy vẽ,Drawing paper,画纸,กระดาษวาดเขียน,kertas lukisan,зургийн цаас,бумага для рисования,画用紙,item,미술 준비물
색칠 도구,đồ dùng tô màu,Coloring tools,涂色工具,อุปกรณ์ระบายสี,alat mewarna,будах хэрэгсэл,всё для раскрашивания,お絵描きセット,item,미술 준비물
정서행동 검사,kiểm tra tâm lý và hành vi,Emotional & behavioral screening,心理情绪检查,แบบประเมินพฤติกรรมและอารมณ์,ujian emosi dan tingkah laku,сэтгэл зүйн сорил,тест на эмоциональное состояние,情緒・行動チェック,item,학생 검사
돌봄교실,lớp chăm sóc trẻ,After-school care,托管班,ห้องเรียนดูแลเด็กหลังเลิกเรียน,kelas jagaan,өдөр өнжүүлэх анги,продленка,学童保育,item,초등 돌봄
방과후학교,lớp học sau giờ học,After-school programs,课后班,กิจกรรมหลังเลิกเรียน,program selepas sekolah,хичээлээс гадуурх дугуйлан,занятия после школы,放課後教室,item,방과후 프로그램
하원,đón trẻ về,Pick-up,放学,กลับบ้านจากศูนย์เด็กเล็ก,pulang dari tadika,цэцэрлэгээс гэртээ харих,уход домой из детского сада,降園,item,유치원 귀가
등원,đưa trẻ đến trường,Drop-off,上学,ไปศูนย์เด็กเล็ก,hadir ke tadika,цэцэрлэгт ирэх,приход в садик,登園,item,유치원 등교
가정통신문,thông báo gửi gia đình,School notice to parents,家长通知书,จดหมายแจ้งจากโรงเรียน,surat makluman,мэдэгдэх хуудас,информационное письмо для родителей,お便り,item,기타
알림장,sổ liên lạc,Notice book,联络簿,สมุดติดต่อผู้ปกครอง,buku makluman,мэдэгдэл,дневник,連絡帳,item,기타
공지사항,thông báo,Announcements,公告事项,ประกาศแจ้งให้ทราบ,pengumuman,зарлал,важные объявления,お知らせ,item,기타
동의서,giấy đồng ý,Consent form,同意书,ใบยินยอม,borang izin,зөвшөөрлийн хуудас,согласие,同意書,item,제출 서류
신청서,đơn đăng ký,Application form,申请表,ใบสมัคร,borang permohonan,хүсэлт,заявление,申し込み書,item,제출 서류
조사서,phiếu khảo sát,Survey form,调查表,แบบสอบถามข้อมูล,borang kaji selidik,судалгаа,анкета,調査票,item,제출 서류
확인서,giấy xác nhận,Confirmation form,确认书,ใบยืนยัน,borang pengesahan,тодорхойлолт,справка,確認書,item,제출 서류
안내문,thông báo,Notice,通知说明,เอกสารแจ้งรายละเอียด,surat panduan,зааварчилгаа,памятка,ご案内,item,기타
회신,gửi phản hồi,Reply,回执,การตอบกลับ,hantar balasan,хариу илгээх,ответ,お返事,item,제출
제출,nộp,Submit,交回,การส่งเอกสาร,hantar,хураалгах,сдача,提出,item,행동 동사
서명,ký tên,Signature,签名,เซ็นชื่อ,tandatangan,гарын үсэг,подпись,署名,item,행동 동사
참가 여부,việc có tham gia hay không,Participation status,是否参加,การยืนยันเข้าร่วมหรือไม่เข้าร่วม,penyertaan,оролцох эсэх,участие,出欠,item,제출
불참,không tham gia,Unable to attend,不参加,ไม่เข้าร่วม,tidak hadir,оролцохгүй,неучастие,欠席,item,제출
기한,thời hạn,Due date,截止时间,กำหนดส่ง,tempoh masa,хугацаа,срок,期限,item,일정
마감일,hạn chót,Deadline,截止日期,วันสุดท้าย,tarikh tutup,дуусах хугацаа,последний день сдачи,締め切り日,item,일정
준비물,đồ dùng cần chuẩn bị,Things to bring,准备物品,สิ่งที่ต้องเตรียมมา,barang yang perlu dibawa,бэлдэх зүйлс,что нужно принести,持ち物,item,준비물 범주
실내화,dép đi trong nhà,Indoor shoes,室内鞋,รองเท้าสำหรับใส่ในอาคาร,kasut dalam bangunan,дотор өмсөх шаахай,сменная обувь,上履き,item,준비물
체육복,đồ thể dục,Gym clothes,运动服,ชุดพละ,baju sukan,биеийн тамирын хувцас,спортивная форма,体操服,item,준비물
여벌옷,quần áo dự phòng,Extra set of clothes,备用衣服,ชุดสำรองสำหรับเปลี่ยน,baju salin,солих хувцас,сменная одежда,着替え,item,준비물
개인 물병,bình nước cá nhân,Water bottle,个人水壶,กระติกน้ำส่วนตัว,botol air sendiri,хувийн усны сав,личная бутылочка для воды,水筒,item,준비물
도시락,cơm hộp,Lunch box,便当,ข้าวกล่อง,bekal makanan,бэлдсэн хоол,ланч-бокс,お弁当,item,준비물
간식,đồ ăn nhẹ,Snack,点心,ขนม,snek,хөнгөн зууш,перекус,おやつ,item,준비물/비용
간식비,tiền ăn nhẹ,Snack fee,点心费,ค่าขนม,duit snek,зуушны мөнгө,оплата за перекус,おやつ代,item,비용
돗자리,thảm ngồi,Picnic mat,野餐垫,เสื่อ,tikar,дэвсгер,коврик для пикника,レジャーシート,item,준비물
색종이,giấy màu,Colored paper,折纸,กระดาษสี,kertas warna,өнгөт цаас,цветная бумага,折り紙,item,준비물
가위,kéo,Scissors,剪刀,กรรไกร,gunting,хайч,ножницы,はさみ,item,준비물
크레파스,bút màu sáp,Crayons,蜡笔,สีเทียน,krayon,тосон харандаа,мелки,クレヨン,item,준비물
네임펜,bút dạ viết tên,Permanent marker,姓名笔,ปากกาเขียนชื่อ,pen penanda,нэр бичдэг маркер,перманентный маркер,お名前ペン,item,준비물
스쿨뱅킹,School Banking,School Banking,School Banking（学校自动扣款服务）,School Banking,School Banking,School Banking,School Banking,スクールバンキング,item,납부 방식
납부,nộp tiền,Payment,缴纳费用,การชำระเงิน,bayaran,төлбөр төлөх,оплата,お支払い,item,비용 행동
자동이체,trừ tiền tự động,Auto-pay,自动转账,การหักบัญชีอัตโนมัติ,potongan automatik,автомат шилжүүлэг,автоплатеж,引き落とし,item,비용 행동
교육비,tiền học phí,Tuition,教育费,ค่าเล่าเรียน,yuran sekolah,сургалтын төлбөр,плата за обучение,教育費,item,비용
급식비,tiền ăn ở trường,Lunch fee,伙食费,ค่าอาหารกลางวัน,yuran makan,хоолны мөнгө,плата за питание,給食費,item,비용
체험학습비,phí trải nghiệm,Field trip fee,校外活动费,ค่ากิจกรรมทัศนศึกษา,yuran lawatan,аяллын зардал,оплата за экскурсию,体験学習費,item,비용
등교,đi học,Coming to school,上学,การไปโรงเรียน,datang ke sekolah,хичээлд ирэх,приход в школу,登校,item,초등학교 등교
하교,tan học,Going home,放学,กลับบ้านจากโรงเรียน,balik dari sekolah,хичээл тарах,уход из школы,下校,item,초등학교 하교
결석,nghỉ học,Absence,缺席,การขาดเรียน,tidak hadir,таслах,пропуск занятий,欠席,item,출결
지각,đi muộn,Late,迟到,การมาสาย,datang lewat,хоцрох,опоздание,遅刻,item,출결
조퇴,về sớm,Early dismissal,早退,การขอกลับก่อนเวลา,balik awal,эрт харих,уход пораньше,早退,item,출결
전학,chuyển trường,Transferring schools,转学,การย้ายโรงเรียน,pindah sekolah,сургууль шилжих,переход в другую школу,転校,item,출결/학적
출석인정,được tính là có mặt,Recognized attendance,视为出席,นับว่าเข้าเรียน,dikira hadir,ирцэд тооцох,считается присутствующим,出席として認める,item,출결
출결,tình trạng chuyên cần,Attendance,出勤情况,การมาเรียน,rekod kehadiran,ирц,посещаемость,出欠,item,출결
담임교사,giáo viên chủ nhiệm,Homeroom teacher,班主任老师,คุณครูประจำชั้น,guru kelas,анги даасан багш,классный руководитель,担任の先生,recipient,학교 담당자
원장,hiệu trưởng,Director,园长,ผู้อำนวยการโรงเรียนอนุบาล,pengarah tadika,эрхлэгч,директор детского сада,園長先生,item,유치원 담당자
교무실,phòng giáo vụ,School office,教务处,ห้องพักครู,bilik guru,багш нарын өрөө,учительская,職員室,item,학교 부서
행정실,phòng hành chính,Admin office,行政室,ห้องธุรการ,pejabat,захиргааны өрөө,администрация,事務室,item,학교 부서
상담,trao đổi với giáo viên,Consultation,面谈咨询,การปรึกษา,sesi berjumpa guru,зөвлөгөө,консультация,面談,item,상담
학부모 상담,buổi trao đổi giữa phụ huynh và giáo viên,Parent-teacher conference,家长面谈,การพบครูของผู้ปกครอง,perjumpaan ibu bapa,эцэг эхийн зөвлөгөө,беседа с родителями,保護者面談,item,상담
공개수업,tiết học dự giờ,Open house class,公开课,การเปิดห้องเรียนให้เข้าชม,kelas terbuka,нээлттэй хичээл,открытый урок,授業参観,item,일정
학부모 총회,họp phụ huynh đầu năm,General parent meeting,家长会,งานประชุมผู้ปกครอง,mesyuarat ibu bapa,эцэг эхийн хурал,родительское собрание,保護者会,item,일정
운동회,hội thao,Field day,运动会,งานกีฬาสี,hari sukan,спортын өдөрлөг,спортивный праздник,運動会,item,행사
학예회,buổi biểu diễn văn nghệ,Talent show,才艺表演,งานแสดงผลงานนักเรียน,hari persembahan,урлагийн наадам,школьный фестиваль,学習発表会,item,행사
소풍,đi dã ngoại,School picnic,郊游,การไปทัศนศึกษา,berkelah,салхинд гарах,пикник,遠足,item,행사
수련회,buổi sinh hoạt tập thể,School retreat,研学营,การเข้าค่าย,kem sekolah,зуслан,поездка в лагерь,宿泊学習,item,일정
방학,kỳ nghỉ,School break,假期,ปิดเทอม,cuti sekolah,амралт,каникулы,長期休み,item,일정
개학,ngày bắt đầu học kỳ mới,First day of school,开学,เปิดเทอม,sekolah buka semula,хичээл эхлэх,начало учебы,始業日,item,일정
입학식,lễ nhập học,Entrance ceremony,入学典礼,พิธีเข้าเรียน,hari pendaftaran,элсэлтийн баяр,церемония поступления,入学式・入園式,item,행사
졸업식,lễ tốt nghiệp,Graduation,毕业典礼,งานจบการศึกษา,majlis graduasi,төгсөлтийн баяр,выпускной,卒業式・卒園式,item,행사
종업식,lễ bế giảng năm học,Last day of school,结业典礼,พิธีปิดภาคเรียน,majlis akhir tahun,хичээлийн жилийн хаалтын ёслол,окончание учебного года,修了式,item,일정
학급,lớp học,Class,班级,ชั้นเรียน,kelas,анги,класс,クラス,item,학교 단위
학년,khối lớp,Grade,年级,ระดับชั้น,tahun,ангийн түвшин,год обучения,学年,item,학교 단위
번호,số thứ tự,Student number,学号,เลขที่,nombor,дугаар,номер в списке,出席番号,item,학교 단위
