korean,preferred_vi,preferred_en,preferred_zh,preferred_th,preferred_ms,preferred_mn,preferred_ru,preferred_ja,note
교육급여,Trợ cấp giáo dục,Education benefits/allowance,教育津贴,เงินอุดหนุนการศึกษา,Bantuan pendidikan,Боловсролын тэтгэмж,Пособие на образование,教育給付,비용
급식우유,Sữa bữa ăn học đường,School meal milk,学校餐牛奶,นมอาหารกลางวัน,Susu makanan sekolah,Сургуулийн хоолны сүү,Молоко к школьному обеду,給食牛乳,행정
국내산,Sản xuất trong nước,Domestically produced,国产,ผลิตในประเทศ,Buatan tempatan,Дотоодын үйлдвэрлэл,Отечественное производство,国産,행정
교육과정,Chương trình giáo dục,Curriculum,课程,หลักสูตร,Kurikulum,Боловсролын хөтөлбөр,Учебная программа,教育課程,행정
생년월일,Ngày tháng năm sinh,Date of birth,出生年月日,วันเดือนปีเกิด,Tarikh lahir,Төрсөн огноо,Дата рождения,生年月日,행정
서술형,Dạng tự luận,Descriptive/Essay-type,叙述型,แบบบรรยาย,Bentuk deskriptif/esei,Эссе хэлбэрээр,Описательный/Эссе (тип),記述型,행정
특수교육대상자,Đối tượng giáo dục đặc biệt,Student with special educational needs,特殊教育对象,ผู้เรียนที่มีความต้องการพิเศษทางการศึกษา,Pelajar keperluan pendidikan khas,Тусгай боловсролын зорилтот сурагч,Учащийся с особыми образовательными потребностями,特別支援教育対象者,행정
교수학습,Dạy và học,Teaching and learning,教学,การเรียนการสอน,Pengajaran dan pembelajaran,"Багшлах, сурах",Преподавание и обучение,教授学習,행정
교육지원청,Sở Giáo dục và Đào tạo địa phương,Regional Office of Education,教育支援厅,สำนักงานเขตพื้นที่การศึกษา,Pejabat Pendidikan Daerah,Боловсролын дэмжлэгийн газар,Управление образования,教育支援庁,행정
건강보험료,Phí bảo hiểm y tế,Health insurance premium,健康保险费,เบี้ยประกันสุขภาพ,Premium insurans kesihatan,Эрүүл мэндийн даатгалын шимтгэл,Взнос за медицинскую страховку,健康保険料,비용
학생인권,Quyền học sinh,Student rights,学生人权,สิทธิของนักเรียน,Hak pelajar,Оюутны эрх,Права учащихся,学生人権,행정
등교중지,Tạm dừng đến trường,School attendance suspension,停止上学,ระงับการไปโรงเรียน,Penggantungan sekolah,Хичээлд ирэхгүй байх шийдвэр,Отстранение от занятий,登校停止,행정
식재료,Nguyên liệu thực phẩm,Food ingredients,食材,วัตถุดิบอาหาร,Bahan makanan,Хүнсний орц,Пищевые ингредиенты,食材,행정
원산지,Nơi xuất xứ,Place of origin,原产地,แหล่งกำเนิด,Negara asal,Гарал үүсэл,Место происхождения,原産地,행정
아동학대,Lạm dụng trẻ em,Child abuse,儿童虐待,การทารุณกรรมเด็ก,Penderaan kanak-kanak,Хүүхдийн хүчирхийлэл,Жестокое обращение с детьми,児童虐待,행정
무항생제,Không kháng sinh,Antibiotic-free,无抗生素,ปลอดสารปฏิชีวนะ,Bebas antibiotik,Антибиотикийн агууламжгүй,Без антибиотиков,無抗生剤,건강
사이버폭력,Bạo lực mạng,Cyberbullying,网络暴力,การกลั่นแกล้งบนโลกไซเบอร์,Buli siber,Кибер дээрэлхэл,Кибербуллинг,サイバー暴力,행정
논술형,Dạng bài luận,Essay-type,论述题,แบบเรียงความ,Bentuk esei,Эссэ хэлбэрийн,Эссе-тип,論述型,검사
비대면,Không tiếp xúc trực tiếp,Non-face-to-face,非面对面,ไม่พบหน้า,Bukan bersemuka,Биечлэн бус,Бесконтактный,非対面,행정
여름방학,Kỳ nghỉ hè,Summer vacation,暑假,ปิดเทอมภาคฤดูร้อน,Cuti musim panas,Зуны амралт,Летние каникулы,夏休み,일정
겨울방학,Kỳ nghỉ đông,Winter vacation,寒假,ปิดเทอมภาคฤดูหนาว,Cuti musim sejuk,Өвлийн амралт,Зимние каникулы,冬休み,일정
등교수업,Lớp học trực tiếp,In-person classes,到校上课,การเรียนแบบเข้าชั้นเรียน,Kelas bersemuka,Хичээлд ирж сурах,Очные занятия,登校授業,행정
학교운영위원회,Ban điều hành trường học,School steering committee,学校运营委员会,คณะกรรมการบริหารโรงเรียน,Jawatankuasa pengurusan sekolah,Сургуулийн үйл ажиллагааны хороо,Школьный управляющий совет,学校運営委員会,행정
신속항원검사,Xét nghiệm kháng nguyên nhanh,Rapid antigen test,快速抗原检测,การตรวจแอนติเจนแบบรวดเร็ว,Ujian antigen pantas,Түргэн антиген тест,Экспресс-тест на антигены,迅速抗原検査,검사
중위소득,Thu nhập trung vị,Median income,中位收入,รายได้มัธยฐาน,Pendapatan median,Дундаж орлого,Медианный доход,中位所得,비용
인공지능,Trí tuệ nhân tạo,Artificial intelligence,人工智能,ปัญญาประดิษฐ์,Kecerdasan buatan,Хиймэл оюун ухаан,Искусственный интеллект,人工知能,행정
수강신청,Đăng ký khóa học,Course registration,选课,การลงทะเบียนเรียน,Pendaftaran kursus,Хичээл сонголт,Запись на курсы,受講申請,행정
의료기관,Cơ sở y tế,Medical institution,医疗机构,สถานพยาบาล,Institusi perubatan,Эрүүл мэндийн байгууллага,Медицинское учреждение,医療機関,건강
농촌유학,Du học nông thôn,Rural exchange program,乡村游学,โครงการศึกษาในชนบท,Program pertukaran pelajar luar bandar,Хөдөө орон нутагт суралцах хөтөлбөр,Программа обучения в сельской местности,農村留学,행정
